compound_name,chembl_id,found
OXYBENZONE,CHEMBL1625,True
FLUCYTOSINE,CHEMBL1463,True
MARALIXIBAT CHLORIDE,CHEMBL17879,True
DOBUTAMINE HYDROCHLORIDE,CHEMBL1200418,True
VELPATASVIR,CHEMBL3545062,True
MECHLORETHAMINE,CHEMBL427,True
SODIUM THIOSULFATE,CHEMBL2096650,True
METHYLTESTOSTERONE,CHEMBL1395,True
THIAMYLAL,CHEMBL440,True
HYDROMORPHONE,CHEMBL398707,True
LETROZOLE,CHEMBL1444,True
CHLOROFORM,CHEMBL44618,True
LEVOFLOXACIN ANHYDROUS,CHEMBL33,True
METHYCLOTHIAZIDE,CHEMBL1577,True
TUBOCURARINE CHLORIDE,CHEMBL3989821,True
COPANLISIB,CHEMBL3218576,True
LODOXAMIDE,CHEMBL1201266,True
INGENOL MEBUTATE,CHEMBL1863513,True
VALBENAZINE,CHEMBL2364639,True
PENICILLIN G POTASSIUM,CHEMBL1223,True
NINTEDANIB ESYLATE,CHEMBL3039504,True
CHLOROQUINE PHOSPHATE,CHEMBL58510,True
PEMETREXED DISODIUM,CHEMBL2360464,True
PACLITAXEL,CHEMBL428647,True
PILOCARPINE HYDROCHLORIDE,CHEMBL1200330,True
TECOVIRIMAT MONOHYDRATE,CHEMBL5315121,True
TENOFOVIR ALAFENAMIDE FUMARATE,CHEMBL2364637,True
REZAFUNGIN,CHEMBL3989945,True
XENON,CHEMBL1236802,True
EVOGLIPTIN,CHEMBL1779710,True
HYDROCORTISONE ACETATE,CHEMBL1091,True
ABACAVIR SULFATE,CHEMBL4303288,True
OLANZAPINE PAMOATE,CHEMBL3989694,True
NEBIVOLOL,CHEMBL434394,True
ABIRATERONE ACETATE,CHEMBL271227,True
GEMIFLOXACIN,CHEMBL430,True
PROPOFOL,CHEMBL526,True
TAFLUPROST,CHEMBL1963683,True
PROPIOMAZINE HYDROCHLORIDE,CHEMBL1201068,True
FLAVOXATE HYDROCHLORIDE,CHEMBL1200875,True
TRIAMTERENE,CHEMBL585,True
AMPHOTERICIN B,CHEMBL267345,True
PIPERAZINE,CHEMBL1412,True
EDROPHONIUM CHLORIDE,CHEMBL1128,True
ILOPROST,CHEMBL494,True
RIMEGEPANT SULFATE,CHEMBL2364629,True
AFATINIB,CHEMBL1173655,True
PROPAFENONE HYDROCHLORIDE,CHEMBL1201063,True
CEPHALEXIN HYDROCHLORIDE,CHEMBL1200366,True
AMITRIPTYLINE HYDROCHLORIDE,CHEMBL1200964,True
HYDRALAZINE HYDROCHLORIDE,CHEMBL542541,True
NAFTIFINE HYDROCHLORIDE,CHEMBL1200493,True
ECHOTHIOPHATE IODIDE,CHEMBL1200367,True
PRAZOSIN,CHEMBL2,True
NOMIFENSINE,CHEMBL273575,True
TALAPORFIN,CHEMBL2111186,True
CEFORANIDE,CHEMBL1201046,True
MENTHOL,CHEMBL256087,True
PIOGLITAZONE,CHEMBL595,True
DOBUTAMINE,CHEMBL926,True
ETHYNODIOL DIACETATE,CHEMBL1200624,True
URIDINE TRIACETATE,CHEMBL2107381,True
PEMIROLAST,CHEMBL1201198,True
ETHCHLORVYNOL,CHEMBL591,True
DIPHENHYDRAMINE,CHEMBL657,True
CYCLOPHOSPHAMIDE ANHYDROUS,CHEMBL88,True
SORAFENIB,CHEMBL1336,True
PEXIDARTINIB,CHEMBL3813873,True
MELATONIN,CHEMBL45,True
TROGLITAZONE,CHEMBL408,True
FENFLURAMINE HYDROCHLORIDE,CHEMBL2106217,True
SILODOSIN,CHEMBL24778,True
SULFANILAMIDE,CHEMBL21,True
METHYLPREDNISOLONE,CHEMBL650,True
IBANDRONATE SODIUM,CHEMBL3989569,True
MOXONIDINE,CHEMBL19236,True
OXYPHENBUTAZONE ANHYDROUS,CHEMBL1228,True
PROPOXYCAINE,CHEMBL1195,True
DARIDOREXANT,CHEMBL4297590,True
VECURONIUM BROMIDE,CHEMBL1200629,True
GEMCITABINE HYDROCHLORIDE,CHEMBL1637,True
DIPYRIDAMOLE,CHEMBL932,True
CHLORMADINONE ACETATE,CHEMBL110691,True
CHLOROPROCAINE,CHEMBL1179047,True
CARTEOLOL HYDROCHLORIDE,CHEMBL1201002,True
PRAMIPEXOLE DIHYDROCHLORIDE,CHEMBL3182733,True
TIZANIDINE,CHEMBL1079,True
CARBIDOPA,CHEMBL1200748,True
EPIRUBICIN HYDROCHLORIDE,CHEMBL1200981,True
CISATRACURIUM,CHEMBL1201248,True
ZIMELDINE,CHEMBL37744,True
NOVOBIOCIN,CHEMBL36506,True
URACIL MUSTARD,CHEMBL1488,True
TORSEMIDE,CHEMBL1148,True
PROPYLTHIOURACIL,CHEMBL1518,True
DIETHYLSTILBESTROL DIPHOSPHATE,CHEMBL1200598,True
RIBOFLAVIN 5'-PHOSPHATE,CHEMBL1201794,True
MOXALACTAM,CHEMBL74632,True
BUTORPHANOL TARTRATE,CHEMBL299400,True
